code,name,description,nitRestaurant,price
0135-0531,Teresina Janes,Insert antimicrobial env,855-09-9880,87.08
47781-204,Charlotta Jerosch,2 int mam-cor art bypass,665-39-4728,62.91
52959-130,Roxanne Garner,Oth sleep dis funct test,368-63-6306,41.29
0121-0678,Deedee Tinn,Bone marrow trnsplnt NOS,735-35-6902,70.03
0228-3503,Baillie Frear,Spermatocele aspiration,147-97-3359,88.71
49999-068,Marie-ann Ogley,Oxygen enrichment NEC,771-36-4778,61.83
65862-073,Ronica Strick,Cystoscopy thru stoma,128-04-9369,81.58
0430-0210,Allis Golsworthy,Destruc bartholin gland,786-20-4004,3.73
41520-478,Nefen Bassingham,Insert 1 vascular stent,337-27-8177,60.44
24385-159,Huntlee Janouch,Decompression chamber,356-72-0515,77.23
53808-0738,Terrance Roback,Periph ganglionect NEC,513-23-6634,90.48
62856-750,Rivkah MacCaffrey,Psychia commitment eval,158-85-7909,59.93
0143-9923,Rayner Jakab,Excis perianal skin tag,875-45-3607,97.42
21695-174,Gilda Caldaro,Body measurement,583-38-0228,23.81
67877-224,Else Blenkinsop,Division of penile adhes,246-88-4413,99.69
16252-508,Mommy Bennington,Imp/rep mchan cochl pros,466-56-2504,45.07
60429-288,Jae Roadknight,Graft repair ventric def,498-31-6636,31.13
59614-311,Vinita Caudray,Radical orbitomaxillect,228-94-5571,32.33
61957-1113,Nadya Ianitti,Hemorrhoid cryotherapy,581-31-9552,64.31
57237-081,Amii Jerams,Comb heart/lung transpla,362-77-6026,27.18
55154-5663,Evey Ruspine,Oth dx proc-metatar/tar,533-59-2956,67.29
68770-102,Boigie Quaife,Ins d-e stent oth periph,792-26-1416,46.10
24909-165,Dorolisa Simmers,Arterioven fistula rep,103-46-4618,72.18
16714-024,Marve Van,Skel xray-ankle & foot,723-65-0016,17.75
52682-023,Junette Davidoff,Facilit intraoc circ NEC,533-77-6136,90.52
55910-014,Ivett Antoons,Anterior chamber op NEC,393-80-0098,84.84
42549-532,Meier Blease,Opn bx larynx or trachea,322-42-4762,83.98
64760-006,Thelma Lighterness,Soft tissue inject NEC,455-27-9091,50.41
35356-723,Nathanil Stansfield,Remov imp dev-tib/fibula,717-17-2128,87.01
61703-323,Jolynn Gauntley,Total exc pituitary NOS,268-74-8124,52.95
47593-392,Octavia Shapcott,Incis to remov tonsil FB,771-98-5223,21.84
76019-100,Dael Reggiani,Detach retina laser coag,279-11-9384,35.39
63868-200,Glori Byrd,Open reduc-metac/car fx,204-14-2248,16.00
12753-930,Sanderson Germann,Heart transplantation,644-96-2335,84.43
68391-121,Dickie Ilem,Wound catheter irrigat,536-47-6045,11.25
41163-194,Elliott Ales0,Lg bowel stoma closure,127-66-4778,97.19
50436-3593,Tobias Collier,Regional lymph node exc,139-54-8997,60.10
36987-2656,Gaby Daniell,Sut gastric ulcer site,747-93-2532,16.79
59970-077,Ginger Simo,Tot osteoplasty maxilla,850-53-3497,3.85
36987-1650,Quintin Stairmand,Cervical cyst marsupial,852-10-8461,71.01
48951-3086,Deena Joselson,Upper lid rhytidectomy,410-15-6220,83.05
43749-320,Lisle Cicco,Onychoplasty,756-88-5518,65.41
10356-571,Kendall Brownbill,Marrow diagnost proc NEC,824-66-6871,44.33
43269-802,Zelig O'Kielt,Repair ob lac corp uteri,457-28-6929,39.66
10006-010,Kenny McNerlin,Arthroscopy NOS,157-79-5388,15.05
21695-486,Bear Desforges,Rad dissec periaort node,627-35-3024,69.12
49349-516,Cristal Breedy,Mediastinoscopy,327-71-2279,18.41
48951-9014,Caralie Millions,Endo pulm arwy flow msmt,370-67-5756,50.82
63824-041,Roobbie Brolly,Excise ciliary body les,807-91-8274,74.41
62670-4405,Shirley Langmuir,Trephin sclera w iridect,268-15-6051,11.39
50436-1074,Clarine Brunstan,Nephropexy,479-82-7495,67.68
52125-620,Erda Orum,Micro exam-bili/panc NEC,181-31-4983,64.90
64616-103,Pris Stanett,Arth/pros rem wo rep-hnd,209-09-8883,96.00
65162-414,Domenic Bennedsen,Sphenoidectomy,489-91-9226,25.01
41167-0574,Phedra Rymer,Oth part cholecystectomy,356-64-7522,13.00
64117-141,Hurley Brian,Stern esophagoenter NEC,555-42-2722,93.71
0781-5044,Cindi Fairlam,Ven cath renal dialysis,841-89-7435,72.68
68479-600,Glennis Loosley,Int fixation-chest cage,818-40-5604,32.97
49348-158,Callean Ovanesian,Septoplasty NEC,305-81-2445,3.57
37000-714,Madelyn Sygrove,Pituitary gland incision,498-59-8253,0.66
68745-2026,Wells Crannage,Abd region dx proc NEC,775-08-5657,26.85
0228-2539,Dunstan Helliar,Cranial osteoplasty NEC,714-89-5626,91.15
50181-0004,Calley Rigney,Cell blk/pap-spleen/marr,615-49-0675,21.97
47781-229,Corby Letchford,Upper limb endarterectom,369-66-3417,74.05
66096-684,Franklin Luttger,Remov cystostomy tube,574-50-1780,57.01
69129-010,Harlan Laurens,Oth dx proced-humerus,855-44-3085,61.44
68747-6028,Dianne Dubois,Injection into tendon,623-69-5209,89.56
0054-3117,Wyatan Helsdon,Int or repl perm pacemkr,239-42-9423,60.66
0078-0561,Cal Heasley,Blood vessel biopsy,238-99-1496,24.55
54868-4778,Agnese Caizley,Oth plastic repair palat,859-98-1737,32.85
58411-191,Blair Ferroni,Other bronchoscopy,854-05-1948,27.05
41167-0935,Merola Terbruggen,Part ostect-metatar/tar,670-24-3704,42.09
0548-3013,Tracie Fleay,Total dacryoadenectomy,114-64-3455,41.60
54868-6154,Corenda Kershow,Partial shoulder replace,136-79-1970,71.50
65044-1782,Niall O'Scully,Destruc lg bowel les NEC,722-93-1784,45.38
59779-970,Leroi Gilli,Oth excise duodenum les,768-81-5550,15.36
0093-0027,Grannie McKeon,Partial mandibulectomy,838-33-2427,4.73
11489-057,Roda Kinahan,Close gastric fistul NEC,428-36-3977,98.37
31357-040,Catherin Cobbald,Suture kidney laceration,165-21-6992,85.12
48951-8001,Meade Gotthard,Hand tenonectomy NEC,309-20-9033,42.26
68180-779,Daryl Gonsalvez,Nonexc destr cil bod les,268-78-7968,62.94
11084-535,Bar Sangster,Endosc inser stent bile,386-27-0472,66.39
0009-5181,Adriane Vannar,Ovarian dx procedure NEC,216-55-6843,95.23
14505-398,Kayla Hrynczyk,Intraoper cholangiogram,794-50-7755,40.04
16590-010,Mortimer Bitterton,C & s-female genital,401-17-1697,93.09
52544-046,Christian Cosin,Lid reconst-ful thic NEC,503-19-0734,99.21
62670-4832,Adela Bagshawe,Cisternal puncture,307-33-0671,93.71
23155-125,Humberto MacGettigen,Episiotomy,875-55-0472,34.32
0409-3508,Carney McGaraghan,Refus lmb/lmbsc ant/post,851-03-0895,50.59
65841-029,Keriann Bardell,Opn/oth rep tcspd vlv-ts,832-65-5903,75.33
49999-857,Earle Zorro,Remove imp dev-metat/tar,889-46-0182,24.59
0268-1396,Clareta Jakov,Extended ophthal work-up,868-26-6964,30.45
37205-402,Jarvis Cater,C & s-eye,752-52-5889,84.40
42346-500,Alard Boshier,Bursectomy,594-66-9588,91.40
0591-3213,Jessy Gerssam,Endo rem obs hd/neck ves,571-42-7677,26.72
0440-1282,Garrick Catcheside,Eyebal/orbit dx proc NEC,107-68-5942,74.87
42507-402,Iolanthe Yendle,Radius/ulna division NEC,462-56-2097,13.91
16252-507,Clyde Banishevitz,Clinical hearing test,821-08-5480,82.89
75854-305,Lucina Syratt,Incision of testes,325-01-0585,88.18
36987-1767,Talbot Korneev,Omt to move tissue fluid,137-63-4656,94.21
35356-827,Corinne Abbess,Destruct ext ear les NEC,714-71-8502,27.26
40076-319,Mildred Robjents,Dilation anal sphincter,112-17-2445,9.02
54868-5281,Clem Berthelmot,Ptosis rep-fron mus slng,663-17-3579,75.10
59779-900,Butch Worwood,Pressure trouser applica,506-32-6221,39.66
67253-200,Jordanna Brennans,Aorta-renal bypass,780-76-2753,84.30
0703-4100,Tami Have,"TRAM flap, pedicled",455-19-5105,71.87
55714-2274,Franz New,Iontophoresis,748-75-5707,9.78
14783-252,Cord Wildish,GI ostomy irrigation,473-08-5083,70.01
52125-172,Berrie Brim,Excis metacar/car-graft,358-96-6420,70.86
60232-2286,Novelia Kneeshaw,Insert/replace EVD,538-08-6449,16.90
55154-5420,Bobby Waplington,C & s-spleen/marrow,174-22-8296,90.76
45963-461,Virginia Roke,Exc branchial cleft cyst,440-30-7646,13.40
60505-0578,Marcelia Ramalho,Other glossotomy,857-65-9137,55.94
13537-533,Gery Skeggs,Lap reimplant of ovary,564-65-0008,55.63
23155-017,Oren Monier,Opn pull-thru res rectum,638-87-2983,37.77
53346-1318,Hayley Dri,Perc abltn liver les/tis,169-20-8603,19.75
0555-0033,Torre Sperrett,Ureteroscopy,444-37-7328,52.33
64809-104,Dagmar Mcwhinney,Bone graft to face bone,120-12-7690,37.08
64942-1157,Lorri Josef,Open adrenal gland bx,662-75-4372,53.49
49288-0776,Janean Klimuk,Lid lacer rx-prt th NEC,806-02-1195,3.81
55154-6980,Roxie Goodsall,Suprapubic sling op,720-09-4707,94.48
49643-347,Any Byars,Ext ear diagnos proc NEC,492-89-6672,21.94
57520-0002,Gerald Glenwright,Transureth prostatectomy,884-10-8133,99.66
0615-7638,Natividad Schruyers,Instrument delivery NOS,104-30-7941,78.99
39822-1000,Latia Jillins,Incision pilonidal sinus,890-80-5531,55.99
0924-5603,Cyndie McGrowther,Penile repair NEC,541-29-8590,95.55
0555-0787,Reilly Roper,Abdominal wall biopsy,316-19-0994,33.41
51346-236,Piotr Brissenden,Suture of gum laceration,476-81-1945,63.95
47593-190,Alikee Learoyd,Refus lmb/lmbsc ant/post,718-27-1828,29.94
68472-075,Morna Grocutt,Adrenal vessel ligation,274-70-5512,34.15
22700-140,Anatole Rosario,Repair of thymus,447-36-4368,7.94
10819-3915,Marget Amberg,Foot & toe arthroscopy,120-59-5492,36.02
55670-478,Loreen Ravenscraft,Endosc destruc anus les,112-75-6373,91.96
11822-5458,Orlando Castaner,Ureteral operation NEC,609-38-7822,71.72
53808-0366,Frances Castel,Temporary tracheostomy,349-39-7570,16.08
61941-0071,Denny Schulke,Facilit intraoc circ NEC,182-56-0793,33.36
0409-1038,Jayne Chupin,Partial hepatectomy,402-33-5281,45.93
13537-351,Wendel Paley,Per cardiopulmon bypass,254-35-6960,92.76
0219-4103,Juan Morsom,Remov intralum trach FB,829-14-2423,18.15
0006-0032,Brianna Hawyes,Other diaphragm repair,647-08-0505,12.85
98132-300,Aubrie Farnes,Remove impl dev-humerus,406-10-8952,81.39
68084-354,Jeane Pollack,Los excis prostatic les,275-58-5046,92.99
61310-101,Javier Syphus,Trans bal dil pros ureth,243-93-6498,15.99
41190-434,Kaylee Litzmann,Insert bone stimul NOS,424-34-8327,19.72
63323-196,Phillie Beals,Orthodon applianc applic,572-27-7755,95.15
64735-041,Cilka Caruth,Incision of testes,341-48-6233,63.44
67544-887,Allin Espadater,Proximal pancreatectomy,689-79-4488,43.28
34690-8001,Norry Croft,Conjunctiva incision NEC,554-23-8416,21.90
17156-210,Elberta Gillies,Oth plastic repair palat,212-58-7171,54.83
49999-610,Bell Davidovics,Partial mandibulectomy,393-46-1199,4.24
52125-635,Yule Adelberg,Knee joint biopsy,131-66-8491,44.64
61767-222,Vick Gooley,Perf keratopl w autogrft,154-99-7266,30.05
68016-018,Trudie Faucett,Urinary system x-ray NEC,757-08-8364,69.02
53113-557,Cathlene Gray,Repair of cleft lip,774-10-2711,88.58
54868-2841,Tommie Ridoutt,Excision hand muscle les,504-07-4096,72.03
36800-427,Jacky Eisig,SuperSat O2 therapy,852-55-2474,97.94
55910-294,Angelico Braznell,Open reduc-elbow disloc,450-54-7813,76.20
52125-982,Lory O'Loughane,Iris operation NEC,178-81-3667,82.54
51672-2018,Jimmie Bensusan,Thumb reconstruction NEC,643-44-7173,98.90
53808-0722,Worthington Wark,Excis deep cervical node,333-05-3855,2.16
22100-006,Valenka China,Open reduc-metac/car fx,582-79-1853,32.23
36800-901,Sargent Daton,Anal operation NEC,161-58-0991,12.48
0064-0300,Bettina Cornils,Open reduct mandible fx,892-96-2658,9.52
66993-049,Adolph Edgerley,Manual exam of breast,634-27-0499,88.64
55154-4793,Nicolis Oiseau,Lip biopsy,715-63-4880,7.22
0469-0125,Elinore Chattoe,Extracorpor hepat Assis,572-87-8679,31.17
0904-5832,Tamar McKie,Culture-female genital,110-87-4316,23.83
59746-308,Shirlene Stokey,Remov intralum trach FB,774-84-6713,57.06
76237-118,Dolores Scatcher,Insert esoph obtu airway,799-15-4869,66.23
0093-8238,Garik Durbin,Opn tricus valvuloplasty,829-77-1317,44.48
50988-214,Ferne Astbery,Surg induct labor NEC,854-67-2115,63.07
76461-022,Ariella Vella,Patellar division NEC,239-75-9819,72.71
33261-106,Earl Jeaycock,Culture-lower resp,316-67-2704,40.54
16590-897,Iggy Flippini,Ather oth non-cor vessel,590-69-1719,6.17
64126-1234,Steffane Maybery,Abdominal wall incision,723-88-2796,55.12
53489-386,Carry Lerwill,Remove skull tongs,712-84-3554,33.78
55289-023,Javier Pfaff,Rev pedcl dyn stabil dev,681-27-0802,97.24
42254-307,Edie Grigolashvill,Limb lengthen proc NOS,680-78-0024,65.42
22700-141,Clement Tommen,Transplant of intestine,147-26-6664,44.06
64762-861,Allegra Machin,Other tenodesis of hand,850-76-3062,69.13
59667-0094,Karel Beetham,Revis ureteroenterostomy,793-06-1025,1.37
0942-9206,Linus Dimbylow,Bone graft to chest cage,638-42-2736,70.96
63323-377,Chrystel Crackel,Skin & subq op NEC,639-82-2361,23.81
37205-753,Sanson Markovich,Injection into prostate,807-46-4622,55.22
11118-1102,Cheston Ledgard,Interview & evaluat NEC,163-62-6880,92.98
11673-224,Daron Obington,Replace vag diaphragm,135-26-0519,34.61
10189-001,Tammie Velden,Open fx reduction NEC,242-86-9975,36.11
0378-1657,Kippy Leaves,Heart vessel op NEC,289-71-1538,20.39
61715-071,Graig Beardow,Anal sphincterotomy NEC,622-60-5944,37.34
64009-510,Barbara Jammet,Excise skull lesion,727-02-5026,93.24
68180-130,Elna Fullun,Hair transplant,394-92-1246,78.30
76420-775,Alvie Honig,Revise disc prost cerv,174-86-3104,87.09
59762-0046,Orelia Bowbrick,Oth intraop mag res imag,572-33-9797,38.45
76105-479,Charlean Gilman,Implnt/fit pros limb NOS,319-48-3369,85.55
50051-0010,Arlette Lambswood,Electron teleradiotherap,587-96-2720,97.61
55714-4543,Constantia Schoolfield,Percutan vertebroplasty,341-31-3057,10.69
64720-238,Torrance Conibeer,Laryngostomy revision,712-15-6427,61.13
35000-870,Kimbell Knevit,Male sterilization NOS,822-47-5965,35.20
0517-4201,Lenee Kingswold,Tympanosympathectomy,531-24-7925,93.84
11410-839,Bryant Geddis,Sutur capsul/ligamen arm,152-85-3249,93.89
0093-4030,Opal Start,Urethroscopy NEC,792-04-1667,78.35
57237-077,Feliks Obal,Fit leg prosthesis NOS,335-46-7914,37.46
62856-245,Buiron Sargerson,Partial shoulder replace,436-52-6225,47.22
60760-078,Cecilla Bartolomeazzi,"Endo em hd/nk,bioac coil",536-58-6224,27.20
64942-1143,Johna Bagley,Shoulder arthroscopy,338-19-8155,60.83
0268-1347,Bobbe Burchell,Oth bone repa/plast NEC,363-87-4901,86.99
68645-140,Freddy Wigin,Unilat adrenal explorat,373-11-2328,52.26
0093-7267,Oralie McLellan,Incise/remov conjunct FB,682-45-0084,68.96
68180-882,Phil Avrashin,Perc abltn lung les/tiss,458-60-0180,86.82
59898-180,Erminia Wandrich,Radial keratotomy,637-23-6934,38.36
30142-069,Katrinka Davley,Excis knee semilun cartl,225-73-8944,5.30
59779-459,Farlie Kyd,Perc ins extracran stent,568-83-3990,64.95
0527-1398,Alfy Adderley,Perianal biopsy,115-80-0418,20.08
36987-2205,Eba Blunderfield,Hand & finger arthroscop,614-84-8025,4.32
41167-0964,Jeffy Erdis,Open red-sep epiphy NEC,620-16-5902,12.39
55315-251,Ruddy Dornin,Pack ext auditory canal,689-11-7956,53.68
33261-342,Emilio Thirsk,Cell block/pap-blood,597-52-7745,84.48
42192-135,Shari MacFadzan,Closed biopsy of tongue,472-85-7546,38.11
13733-050,Karl Etoile,Dysphasia training,164-47-5878,39.96
10631-091,Geralda Creber,Applic ext fix-humerus,316-30-5932,78.93
51079-562,Piper Killgus,Testes dx procedure NEC,196-74-9010,27.95
35000-703,Aldin Hackworthy,Manual reduc rect prolap,464-21-5742,49.61
50419-171,Netty Vasiliu,Facial bone repair NEC,768-36-1971,50.70
60505-3780,Ike Baal,Repair of tongue NEC,248-67-5755,57.46
0299-2012,Andie Badsworth,Remov urethral stent,162-73-1551,1.60
21695-457,Stirling Cleveley,Loc exc les metacar/car,432-48-5499,96.16
51346-103,Morton Howells,Thyr/parathy dx proc NEC,165-39-4303,80.66
58411-166,Maia O'Hoolahan,Remov trunk suture NEC,613-27-0198,57.84
35356-949,Claudell Januszewicz,Periren/uret dx proc NEC,677-38-3120,39.06
57520-0517,Darlleen Durkin,After-catar discission,272-47-9511,17.61
0363-0923,Josiah Young,Heart/pericard repr NEC,366-05-0375,74.01
52810-213,Kinsley Acedo,Hand tenonectomy NEC,688-42-0808,18.55
57520-0204,Concordia Senecaut,Dx proc fetus/amnion NEC,158-26-9020,26.44
55154-5985,Dora Kelberer,Replace ureteral stimul,330-95-0469,49.42
67857-705,Paulita Lashbrook,Coronar arteriogr-1 cath,503-38-0189,77.97
0378-1001,Merrilee Yacob,Intravas msmt periph art,242-86-6962,94.83
67938-1088,Standford de Wilde,Arm vessel resect/anast,741-51-9513,69.51
0472-0403,Faydra Loweth,Contrast arteriogram NEC,575-82-4493,24.41
65862-101,Algernon Blencoe,Intest stoma revis NOS,663-35-8870,81.79
54868-4499,Clementina Gynni,Platelet transfusion,405-61-5260,80.97
68788-9156,Leslie Sheather,Urethral repair NEC,563-04-5542,76.81
51386-736,Brandea Botcherby,Pulsation balloon implan,866-02-8843,42.73
49738-205,Mace Ell,Complete glossectomy,357-04-9893,21.36
51386-713,Tommie Goulbourne,Other sympathectomy,427-94-4560,34.39
36987-2272,Yettie Innerstone,Rt heart angiocardiogram,177-41-6703,54.58
47593-170,Anni Caskie,Testes dx procedure NEC,723-68-8536,63.91
54868-3757,Merci Kingswell,Transabdomin gastroscopy,569-10-6424,85.46
34645-3110,Lisle Drust,Parathyroid reimplant,233-62-9056,73.39
0781-5784,Johny Dene,Open red-sep epiphy NOS,226-96-8967,96.70
54997-186,Enrique Tallboy,Oral cavity dx proc NEC,133-44-1256,53.56
55111-146,Malachi Masden,Other neuroplasty,569-32-8094,67.96
57955-1850,Zachery Mahy,Intravascul imaging NEC,477-18-9457,96.14
10424-149,Jermayne O' Scallan,"TRAM flap, free",835-47-4100,84.55
48433-305,Sayres Endrici,Anoscopy,477-45-8570,96.28
